transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,1952,1990,1995,2000,2005,2010,2015,2020,2025
331,165500,223689.14504247587,2536031.3902210193,90.30628783228435,22.909501512316673,4586.718366542424,4952.357657727029,4869.359428191412,4786.361192558106,4620.364482625504,4565.032188774523,4426.701328109397,4426.701345658395,4426.701328109397
332,166000,223689.14504247587,2536531.3902210193,90.30619862102208,22.91401327090303,,,,4961.352164948359,4740.030809817719,4712.365609869623,4961.352163982869,4629.369969687483,4629.369969687483
333,166500,223689.14504247587,2537031.3902210193,90.30610938723272,22.918525026599017,,,,,,,4998.012568804843,4887.355638933892,4887.355638933892
334,167000,223689.14504247587,2537531.3902210193,90.30602013091301,22.923036779404132,,,,,,,,,
335,167500,223689.14504247587,2538031.3902210193,90.30593085205957,22.927548529317914,,,,,,,,,
336,168000,223689.14504247587,2538531.3902210193,90.30584155066911,22.932060276339854,,,,,,,,,
337,168500,223689.14504247587,2539031.3902210193,90.30575222673829,22.93657202046949,,,,,,,,,
338,169000,223689.14504247587,2539531.3902210193,90.3056628802638,22.941083761706324,,,,,,,,,
339,169500,223689.14504247587,2540031.3902210193,90.30557351124226,22.94559550004988,,2977.595876589039,1235.0497034063737,4816.351892780687,4816.354825835908,4803.0906151552335,4803.0906151552335,4720.114240938128,4816.349692212971
340,170000,223689.14504247587,2540531.3902210193,90.3054841196704,22.95010723549968,4500.161980599136,165.48598657399998,304.71876485209214,1244.1833022760984,1078.2305879335327,1078.2306146598712,1078.2305923879321,1022.9129232200212,1022.9129232200212
341,170500,223689.14504247587,2541031.3902210193,90.30539470554484,22.95461896805523,3635.433667519974,627.4315709411458,1198.0029882289527,1225.6607473935583,1059.713462889602,4682.837981252174,1198.0028568532143,1225.6607152727665,1253.3185697685403
342,171000,223689.14504247587,2541531.3902210193,90.3053052688623,22.95913069771605,1276.333404929028,894.8066796517523,1041.199882781657,1345.4263986877922,1179.4848115808272,4747.173289642,4083.4260948004376,1428.3970525222248,4083.4260948004376
343,171500,223689.14504247587,2542031.3902210193,90.30521580961941,22.96364242448165,7.526183821697487,1134.5058009696368,1133.31408775202,4617.920584571519,1216.282389785716,1299.2502444715356,1299.2502474341309,1299.2502438897209,1299.2502438897209
